"bowl.name","bugula.present","batch","tankID","target.temp","realized.temp","time","cells.per.ul","ssc","fsc"
"A3","Y",1,"t22.b1",22,22.37,2,17.8,200344.7,316406.8
"A3","Y",1,"t22.b1",22,22.37,0,34.33,116766.1,294022.8
"AB3","Y",1,"t28.b1",28,28.49,2,20.1,149282.7,340706
"AB3","Y",1,"t28.b1",28,28.49,0,35.45,115475,291381.8
"ALG103","N",1,"t28.b1",28,28.49,2,39.23,186936.8,337706.4
"ALG103","N",1,"t28.b1",28,28.49,0,32.13,115806.5,295930.8
"ALG113","N",1,"t30.b1",30,30.19,2,31.23,218487.8,364262.6
"ALG113","N",1,"t30.b1",30,30.19,0,35.76,114615.5,290957.2
"ALG123","N",1,"t24.b1",24,24.58,2,35.24,138912.7,314466.8
"ALG123","N",1,"t24.b1",24,24.58,0,30.1,114957,293828.3
"ALG13","N",1,"t18.b1",18,17.01,2,37.93,169020.8,304293.9
"ALG13","N",1,"t18.b1",18,17.01,0,30.78,116701.9,291067.6
"ALG133","N",1,"t22.b1",22,22.37,2,36.02,153490,303517.3
"ALG133","N",1,"t22.b1",22,22.37,0,31.18,112610.2,292237.2
"ALG143","N",1,"t24.b1",24,24.58,2,34.36,156339.1,313879.5
"ALG143","N",1,"t24.b1",24,24.58,0,32.98,111967.5,290397.8
"ALG153","N",1,"t30.b1",30,30.19,2,31.39,159311.2,341801.9
"ALG153","N",1,"t30.b1",30,30.19,0,34.08,111965.7,289316.3
"ALG163","N",1,"t20.b1",20,19.63,2,38.51,138717.5,294921.8
"ALG163","N",1,"t20.b1",20,19.63,0,30.57,116694.3,289297.2
"ALG23","N",1,"t26.b1",26,25.38,2,43.64,157619.2,321016.2
"ALG23","N",1,"t26.b1",26,25.38,0,30.27,117623.3,289086.7
"ALG33","N",1,"t32.b1",32,32.02,2,22.47,151107.7,325751
"ALG33","N",1,"t32.b1",32,32.02,0,26.02,117212.4,289737.2
"ALG43","N",1,"t32.b1",32,32.02,2,30.35,211478.4,364283.4
"ALG43","N",1,"t32.b1",32,32.02,0,31.39,117838.5,291812.4
"ALG53","N",1,"t26.b1",26,25.38,2,39.91,190398.2,327266.3
"ALG53","N",1,"t26.b1",26,25.38,0,29.8,117508,286247.3
"ALG63","N",1,"t28.b1",28,28.49,2,32.9,184742.7,334226.6
"ALG63","N",1,"t28.b1",28,28.49,0,34.25,111849.3,290452.9
"ALG73","N",1,"t22.b1",22,22.37,2,37.2,178802.2,305205.4
"ALG73","N",1,"t22.b1",22,22.37,0,32.16,113354.8,293857.5
"ALG83","N",1,"t18.b1",18,17.01,2,40.96,149638.5,299617.9
"ALG83","N",1,"t18.b1",18,17.01,0,31.09,117275.3,291398.4
"ALG93","N",1,"t20.b1",20,19.63,2,33.04,170335.6,301890.1
"ALG93","N",1,"t20.b1",20,19.63,0,28.33,117159.3,289136
"B3","Y",1,"t18.b1",18,17.01,2,27.25,153314.3,296807.2
"B3","Y",1,"t18.b1",18,17.01,0,35.56,118065.9,285088.2
"C3","Y",1,"t22.b1",22,22.37,2,15.08,156321.9,316547
"C3","Y",1,"t22.b1",22,22.37,0,34.98,116102.9,292461.9
"E3","Y",1,"t20.b1",20,19.63,2,28.65,147111.2,303457.1
"E3","Y",1,"t20.b1",20,19.63,0,30.84,118839,287033.6
"F3","Y",1,"t32.b1",32,32.02,2,18.46,148183.9,317659.4
"F3","Y",1,"t32.b1",32,32.02,0,33.56,119342.8,288028.8
"G3","Y",1,"t32.b1",32,32.02,2,14.07,200723.6,370310.9
"G3","Y",1,"t32.b1",32,32.02,0,32.47,116714.6,284741
"H3","Y",1,"t28.b1",28,28.49,2,19.49,201539.4,337532.7
"H3","Y",1,"t28.b1",28,28.49,0,35.36,116023.9,290156.3
"I3","Y",1,"t24.b1",24,24.58,2,29.11,211310.6,326269.1
"I3","Y",1,"t24.b1",24,24.58,0,35.68,115485.5,288038.8
"J3","Y",1,"t20.b1",20,19.63,2,23.41,169360.4,300891.2
"J3","Y",1,"t20.b1",20,19.63,0,31.96,116272,284407.7
"K3","Y",1,"t24.b1",24,24.58,2,0.14,185600.3,350799
"K3","Y",1,"t24.b1",24,24.58,0,35.8,113717,289625.8
"L23","Y",1,"t24.b1",24,24.58,2,21.03,142128.8,312750.3
"L23","Y",1,"t24.b1",24,24.58,0,34.94,118010.8,292016.1
"L3","Y",1,"t22.b1",22,22.37,0,33.48,115185.7,292288.4
"L3","Y",1,"t22.b1",22,22.37,2,36.28,196651.9,303120.3
"M3","Y",1,"t26.b1",26,25.38,2,17.55,276300.7,336805.2
"M3","Y",1,"t26.b1",26,25.38,0,32.28,118130.9,286927.4
"N23","Y",1,"t22.b1",22,22.37,2,27.77,178311.2,309778.4
"N23","Y",1,"t22.b1",22,22.37,0,33.88,116586.7,289150.3
"N3","Y",1,"t18.b1",18,17.01,2,36.53,180704,309535.7
"N3","Y",1,"t18.b1",18,17.01,0,31.31,117675.5,284937.7
"O3","Y",1,"t28.b1",28,28.49,2,0.89,141227.2,275744.2
"O3","Y",1,"t28.b1",28,28.49,0,32.12,116791,291207
"P3","Y",1,"t32.b1",32,32.02,2,9.94,152730.9,328846.7
"P3","Y",1,"t32.b1",32,32.02,0,34.38,117626.2,286845.6
"Q3","Y",1,"t30.b1",30,30.19,2,23.74,248017.1,360319
"Q3","Y",1,"t30.b1",30,30.19,0,34.73,116372.5,292445.7
"R23","Y",1,"t30.b1",30,30.19,2,0.69,157276.4,329416.8
"R23","Y",1,"t30.b1",30,30.19,0,43.87,126132.3,306429.2
"R3","Y",1,"t20.b1",20,19.63,2,13.61,140641.3,295773.7
"R3","Y",1,"t20.b1",20,19.63,0,32.24,119217.1,288749.4
"S3","Y",1,"t26.b1",26,25.38,2,28.95,157067.4,321693.8
"S3","Y",1,"t26.b1",26,25.38,0,33.79,117200.3,292544.3
"T3","Y",1,"t26.b1",26,25.38,2,14.53,168981.4,325728.6
"T3","Y",1,"t26.b1",26,25.38,0,30.81,118996.9,286939.7
"U3","Y",1,"t30.b1",30,30.19,2,2.22,172347.1,279682.1
"U3","Y",1,"t30.b1",30,30.19,0,34.77,116285.7,293701.3
"V23","Y",1,"t20.b1",20,19.63,2,31.3,173672.9,304007
"V23","Y",1,"t20.b1",20,19.63,0,31.78,119103.1,287802.1
"V3","Y",1,"t18.b1",18,17.01,2,34.14,179632.4,305809.8
"V3","Y",1,"t18.b1",18,17.01,0,32.8,117890.5,284264.4
