"name","batch","tankID","target.temp","realized.temp","feeding.zooids","regressed.zooids","dead.zooids"
"A3",1,"t22.b1",22,22.37,164,28,1
"A3.5",2,"t30.b2",30,30.37,93,135,0
"AB3",1,"t28.b1",28,28.49,79,94,0
"AB3.5",2,"t20.b2",20,19.65,157,80,1
"B23.5",2,"t24.b2",24,24.73,63,127,0
"B3",1,"t18.b1",18,17.01,105,76,0
"B3.5",2,"t32.b2",32,33.1,45,114,0
"C3",1,"t22.b1",22,22.37,160,144,0
"D23.5",2,"t20.b2",20,19.65,47,75,0
"D3.5",2,"t18.b2",18,17.11,87,138,1
"E3",1,"t20.b1",20,19.63,32,52,0
"E3.5",2,"t26.b2",26,25.44,42,69,0
"F23.5",2,"t20.b2",20,19.65,82,16,1
"F3",1,"t32.b1",32,32.02,7,103,2
"F3.5",2,"t30.b2",30,30.37,34,126,0
"G3",1,"t32.b1",32,32.02,10,86,0
"G3.5",2,"t26.b2",26,25.44,146,301,0
"H3",1,"t28.b1",28,28.49,88,136,1
"H3.5",2,"t18.b2",18,17.11,93,188,0
"I3",1,"t24.b1",24,24.58,25,46,0
"I3.5",2,"t28.b2",28,28.33,55,92,2
"J3",1,"t20.b1",20,19.63,94,18,0
"K3",1,"t24.b1",24,24.58,60,69,1
"K3.5",2,"t28.b2",28,28.33,102,65,0
"L23",1,"t24.b1",24,24.58,127,201,0
"L3",1,"t22.b1",22,22.37,93,188,0
"L3.5",2,"t22.b2",22,22.56,112,355,0
"M3",1,"t26.b1",26,25.38,130,106,0
"N23",1,"t22.b1",22,22.37,78,78,0
"N23.5",2,"t22.b2",22,22.56,88,171,1
"N3",1,"t18.b1",18,17.01,79,90,0
"O23.5",2,"t26.b2",26,25.44,42,92,0
"O3",1,"t28.b1",28,28.49,67,105,0
"O3.5",2,"t24.b2",24,24.73,80,114,0
"P23.5",2,"t32.b2",32,33.1,32,72,0
"P3",1,"t32.b1",32,32.02,77,85,1
"P3.5",2,"t28.b2",28,28.33,97,59,0
"Q23.5",2,"t18.b2",18,17.11,80,52,0
"Q3",1,"t30.b1",30,30.19,41,60,0
"Q3.5",2,"t28.b2",28,28.33,34,61,0
"R23",1,"t30.b1",30,30.19,75,77,2
"R23.5",2,"t22.b2",22,22.56,75,60,1
"R3",1,"t20.b1",20,19.63,135,8,0
"R3.5",2,"t32.b2",32,33.1,6,45,2
"S3",1,"t26.b1",26,25.38,62,27,0
"T3",1,"t26.b1",26,25.38,123,114,0
"U3",1,"t30.b1",30,30.19,105,106,0
"U3.5",2,"t22.b2",22,22.56,94,107,2
"V23",1,"t20.b1",20,19.63,106,70,0
"V23.5",2,"t24.b2",24,24.73,73,89,0
"V3",1,"t18.b1",18,17.01,65,63,0
"V3.5",2,"t20.b2",20,19.65,70,87,0
"W23",1,"t32.b1",32,32.02,66,105,2
"W23.5",2,"t26.b2",26,25.44,83,97,0
"W3",1,"t28.b1",28,28.49,150,117,0
"W3.5",2,"t18.b2",18,17.11,96,115,0
"Y3",1,"t24.b1",24,24.58,162,128,0
"Y3.5",2,"t30.b2",30,30.37,39,41,1
"Z23",1,"t26.b1",26,25.38,107,108,2
"Z3",1,"t18.b1",18,17.01,102,53,0
"Z3.5",2,"t24.b2",24,24.73,199,166,0
